Data,compound
2022-09-14,0.32452000000000003
2022-09-15,0.05024705882352941
2022-09-16,0.20885454545454546
2022-09-17,-0.009925000000000003
2022-09-18,0.0
2022-09-19,-0.01948333333333332
2022-09-20,0.12963333333333332
2022-09-21,0.1286875
2022-09-22,0.053805000000000006
2022-09-23,0.01365000000000001
2022-09-24,0.0
2022-09-25,-0.021574999999999983
2022-09-26,0.13442916666666668
2022-09-27,-0.02980416666666666
2022-09-28,0.051622222222222215
2022-09-29,-0.005607407407407409
2022-09-30,0.01146666666666667
2022-10-01,-0.0903
2022-10-02,0.09603333333333335
2022-10-03,0.15711250000000002
2022-10-04,0.2537241379310345
2022-10-05,0.008860000000000002
2022-10-06,0.0486
2022-10-07,0.20639999999999997
2022-10-08,0.025625000000000005
2022-10-09,0.1645
2022-10-10,0.11693
2022-10-11,0.0
2022-10-12,0.15525624999999998
2022-10-13,0.22858333333333336
2022-10-14,0.23084444444444444
2022-10-15,0.14368
2022-10-16,0.17732499999999998
2022-10-17,0.10451000000000002
2022-10-18,0.111868
2022-10-19,0.16187777777777776
2022-10-20,0.18557777777777776
2022-10-21,0.07532592592592594
2022-10-22,0.417
2022-10-23,-0.0127
2022-10-24,0.15931176470588235
2022-10-25,0.046165625
2022-10-26,-0.0718
2022-10-27,0.042063636363636366
2022-10-28,0.06726451612903225
2022-10-29,-0.028900000000000002
2022-10-30,-0.2936
2022-10-31,0.04763571428571429
2022-11-01,0.16540666666666667
2022-11-02,0.017450000000000004
2022-11-03,0.08932307692307691
2022-11-04,0.05375384615384615
2022-11-06,-0.25453333333333333
2022-11-07,0.05154
2022-11-08,0.13498125
2022-11-09,-0.0031999999999999993
2022-11-10,0.144264
2022-11-11,0.21833684210526313
2022-11-12,0.0
2022-11-13,0.09906666666666669
2022-11-14,-0.054014285714285716
2022-11-15,0.06698571428571429
2022-11-16,0.06286923076923077
2022-11-17,0.11865333333333333
2022-11-18,0.313775
2022-11-19,0.06743333333333333
2022-11-20,-0.07305999999999999
2022-11-21,0.11838181818181819
2022-11-22,0.22668947368421052
2022-11-23,0.11248124999999999
2022-11-24,0.2559571428571429
2022-11-25,0.11751
2022-11-26,0.0
2022-11-28,-0.08152285714285715
2022-11-29,0.12678
2022-11-30,0.03955
2022-12-01,0.21133200000000002
2022-12-02,0.18022608695652173
2022-12-03,-0.0718
2022-12-04,-0.006774999999999996
2022-12-05,0.0069272727272727316
2022-12-06,0.0365529411764706
2022-12-07,-0.052848275862068965
2022-12-08,0.1503
2022-12-09,0.1819888888888889
2022-12-10,0.2817
2022-12-11,0.193525
2022-12-12,0.08901666666666667
2022-12-13,0.051181818181818176
2022-12-14,0.010207142857142856
2022-12-15,0.0018411764705882317
2022-12-16,0.24746666666666664
2022-12-18,0.0305
2022-12-19,0.06951363636363637
2022-12-20,0.36032000000000003
2022-12-21,0.07967857142857145
2022-12-22,-0.11868125
2022-12-23,0.23015555555555556
2022-12-25,0.35910000000000003
2022-12-26,0.1862888888888889
2022-12-27,0.03912222222222223
2022-12-28,0.08203913043478261
2022-12-29,0.21035714285714285
2022-12-30,0.028720689655172413
2022-12-31,0.16975
2023-01-01,0.0
2023-01-02,0.14525454545454547
2023-01-03,0.06948214285714285
2023-01-04,0.13903125
2023-01-05,0.13213529411764707
2023-01-06,0.09441250000000001
2023-01-07,0.19418571428571427
2023-01-08,0.07603333333333333
2023-01-09,0.10463333333333334
2023-01-10,0.048350000000000004
2023-01-11,0.03271578947368421
2023-01-12,0.1403764705882353
2023-01-13,0.17718499999999998
2023-01-14,-0.0736
2023-01-16,0.22643749999999999
2023-01-17,0.17384117647058825
2023-01-18,0.126665
2023-01-19,0.05862173913043479
2023-01-20,0.09932
2023-01-21,0.05935555555555556
2023-01-22,-0.11511666666666669
2023-01-23,0.100125
2023-01-24,0.2331153846153846
2023-01-25,-0.0028555555555555526
2023-01-26,0.16274545454545455
2023-01-27,0.19161052631578948
2023-01-28,0.0
2023-01-29,0.1858857142857143
2023-01-30,-0.07494242424242424
2023-01-31,0.101464
2023-02-01,0.04505833333333333
2023-02-02,0.1485
2023-02-03,0.07449428571428572
2023-02-04,0.0
2023-02-05,0.010366666666666672
2023-02-06,0.09459583333333334
2023-02-07,0.03019230769230769
2023-02-08,0.17362857142857144
2023-02-09,0.3325
2023-02-10,0.17494666666666667
2023-02-11,0.4364333333333334
2023-02-12,0.09545
2023-02-13,0.22201111111111108
2023-02-14,0.05407083333333334
2023-02-15,0.12130666666666667
2023-02-16,0.08872222222222223
2023-02-17,0.14111538461538461
2023-02-18,0.3366
2023-02-19,0.20615999999999998
2023-02-20,0.12684
2023-02-21,-0.08215
2023-02-22,0.082625
2023-02-23,0.06147391304347827
2023-02-24,0.19645714285714286
2023-02-25,0.0
2023-02-26,0.1468
2023-02-27,-0.09151363636363637
2023-02-28,-0.004045454545454549
2023-03-01,0.09859473684210526
2023-03-02,0.10949375
2023-03-03,0.09598095238095239
2023-03-04,0.10115
2023-03-05,0.17911428571428573
2023-03-06,0.10794615384615386
2023-03-07,0.1681590909090909
2023-03-08,0.19411250000000002
2023-03-09,0.17825
2023-03-10,-0.03643333333333333
2023-03-11,0.10980000000000001
2023-03-12,0.13055
2023-03-13,0.0794
2023-03-14,0.19422105263157893
2023-03-15,0.22546923076923076
2023-03-16,0.077575
2023-03-17,0.17841666666666667
2023-03-19,0.0
2023-03-20,-0.04214285714285714
2023-03-21,0.15058461538461537
2023-03-22,0.14454375
2023-03-23,0.09458749999999999
2023-03-24,0.15097333333333335
2023-03-25,0.0516
